Site Name ,Alt name or num ,Country ,Y ,X ,Refrences ,14C,Bot ,Zoo
Un-named Nok site,2011/110,Nigeria,9.52,7.62,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/89,Nigeria,9.5,7.62,(Breunig and Rupp 2016),,, 
Un-named Nok site,2012/12,Nigeria,9.47,7.62,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/151,Nigeria,9.59,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/170,Nigeria,9.59,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/179,Nigeria,9.59,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/117,Nigeria,9.55,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/154,Nigeria,9.54,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/19,Nigeria,9.54,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/102,Nigeria,9.53,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/88,Nigeria,9.5,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/104,Nigeria,9.49,7.63,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/169,Nigeria,9.57,7.64,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/74,Nigeria,9.55,7.64,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/35,Nigeria,9.47,7.64,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/36,Nigeria,9.47,7.64,(Breunig and Rupp 2016),,, 
Un-named Nok site,2009/07,Nigeria,9.58,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/143,Nigeria,9.54,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/145,Nigeria,9.54,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/157,Nigeria,9.53,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/137,Nigeria,9.51,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/141,Nigeria,9.51,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/138,Nigeria,9.5,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/34,Nigeria,9.48,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/37,Nigeria,9.47,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/108,Nigeria,9.46,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/107,Nigeria,9.45,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/28,Nigeria,9.44,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/106,Nigeria,9.44,7.65,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/19,Nigeria,9.62,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/101,Nigeria,9.56,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/111,Nigeria,9.54,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/77,Nigeria,9.52,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/140,Nigeria,9.51,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/147,Nigeria,9.49,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/87,Nigeria,9.49,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/96,Nigeria,9.49,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/165,Nigeria,9.48,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/155,Nigeria,9.47,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/98,Nigeria,9.47,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/166,Nigeria,9.43,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/113,Nigeria,9.42,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/20,Nigeria,9.41,7.66,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/18,Nigeria,9.59,7.67,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/61,Nigeria,9.55,7.67,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/18,Nigeria,9.53,7.67,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/40,Nigeria,9.57,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/16,Nigeria,9.56,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/30,Nigeria,9.56,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/144,Nigeria,9.54,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/93,Nigeria,9.54,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/16,Nigeria,9.53,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2012/32,Nigeria,9.53,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/15,Nigeria,9.52,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/42,Nigeria,9.51,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/153,Nigeria,9.46,7.68,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/47,Nigeria,9.56,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/142,Nigeria,9.55,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/44,Nigeria,9.52,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/14,Nigeria,9.52,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2012/06,Nigeria,9.5,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2012/07,Nigeria,9.5,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/121,Nigeria,9.49,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/95,Nigeria,9.49,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/15,Nigeria,9.47,7.69,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/14,Nigeria,9.6,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/43,Nigeria,9.59,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/136,Nigeria,9.55,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/149,Nigeria,9.55,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/168,Nigeria,9.5,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/58,Nigeria,9.5,7.7,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/97,Nigeria,9.59,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/105,Nigeria,9.56,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/91,Nigeria,9.53,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/23,Nigeria,9.52,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/24,Nigeria,9.52,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/25,Nigeria,9.52,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/27,Nigeria,9.52,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/13,Nigeria,9.52,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2010/26,Nigeria,9.51,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/162,Nigeria,9.5,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/92,Nigeria,9.49,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/94,Nigeria,9.49,7.71,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/129,Nigeria,9.57,7.72,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/72,Nigeria,9.55,7.72,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/139,Nigeria,9.52,7.72,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/90,Nigeria,9.52,7.73,(Breunig and Rupp 2016),,, 
Un-named Nok site,2005/02,Nigeria,9.51,7.73,(Breunig and Rupp 2016),,, 
Un-named Nok site,2011/103,Nigeria,9.48,7.73,(Breunig and Rupp 2016),,, 
Un-named Nok site,2012/23,Nigeria,9.41,7.74,(Breunig and Rupp 2016),,, 
Un-named Nok site,2009/18,Nigeria,9.61,7.76,(Breunig and Rupp 2016),,, 
Ungwar Kura,2007/01,Nigeria,9.36,8.02,(Franke 2016; Höhn and Kahlheber 2011; Kahlheber et al. 2009),yes,yes, 
Utak Kamuan Garaje Kagoro,2008/05,Nigeria,9.6,8.34,(Breunig and Rupp 2016; Franke 2016),yes,yes, 
Wamba,,Nigeria,8.95,8.61,(Huysecom et al. 2014),,, 
Wunmonije compound,,Nigeria,7.5,4.4,(Calvocoressi and David 1979),,, 
Yau,,Nigeria,13.5,13.16,(Connah 1976; Linseele 2007; Yamasaki et al. 2016),yes,, 
Yelwa UI 676,RS 63/32 ?,Nigeria,10.81,4.74,(Sule and Haour 2014; Willett 1971; Yamasaki et al. 2016),yes,, 
Zilum,NA 97/37,Nigeria,12.4,13.39,(Breunig and Rupp 2016; Linseele 2007),yes,yes,yes
Zubo,,Nigeria,12.08,13.11,(Clist 2005),yes,, 
Alinguel,,Senegal,13.8,-12.17,(Huysecom et al. 2012a),yes,yes,yes
Arondo,F18,Senegal,14.9,-12.48,(Clist 2005; Kahlheber 2004),yes,yes,yes 
Bangalère,,Senegal,13.92,-16.5,(Calvocoressi and David 1979),yes,,
Cap Manuel,,Senegal,14.65,-17.43,(Calvocoressi and David 1979),yes,,yes 
Cubalel ,Tioubalel,Senegal,16.27,-13.99,(Atangana 1992; Linseele 2007),,yes, 
Dioron Boumak,,Senegal,13.83,-16.52,(Calvocoressi and David 1979; Delibrias et al. 1986),yes,,yes 
Diouboye,,Senegal,13.91,-12.19,(Dueppen and Gokee 2014; Gokee 2012),yes,yes,yes
Dioude Djaabe ,,Senegal,16.29,-14.05,(Huysecom et al. 2012a),,, 
Diouloulou,,Senegal,12.41,-16.77,(Calvocoressi and David 1979),,,yes 
Djoutoubaya,FAL14-144,Senegal,14.06,-12.18,(Huysecom et al. 2014),yes,, 
Faboura,,Senegal,14.12,-16.78,(Huysecom et al. 2012a),yes,,yes 
Fetesilla,FAL14-082,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
Gandiol,,Senegal,15.88,-16.5,(Calvocoressi and David 1979),yes,, 
Gueye Guelakh,,Senegal,15.97,-16.33,(Calvocoressi and David 1979),yes,,yes 
Joal,,Senegal,14.17,-16.85,(Calvocoressi and David 1979),yes,, 
Kandiama,,Senegal,13.17,-13.85,(Huysecom et al. 2014; McIntosh and McIntosh 1986b; Sutton 1982),yes,,
Khant ,,Senegal,16.09,-16.34,(Calvocoressi and David 1979),yes,,yes 
Khant de Saint-Louis,SI10?,Senegal,16.13,-16.45,(Calvocoressi and David 1979),yes,,yes 
Kodiam,,Senegal,13.74,-14.76,(Calvocoressi and David 1979),yes,, 
Kouroukounla,FAL14-098,Senegal,13.95,-12.2,(Huysecom et al. 2014),,, 
Lac Retba,,Senegal,14.85,-17.2,(Calvocoressi and David 1979),yes,,yes 
Louguéré,FAL14-034,Senegal,14.01,-12.19,(Huysecom et al. 2014),,, 
Madina Bat,FAL14-107,Senegal,14.03,-12.2,(Huysecom et al. 2014),,, 
Madina Tarakolé,FAL14-146,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
Maran Kounda,FAL14-029,Senegal,13.98,-12.2,(Huysecom et al. 2014),,, 
Mbor Tumulus,,Senegal,14.7,-16.68,(Calvocoressi and David 1979),,, 
Mboro,,Senegal,15.15,-16.93,(Calvocoressi and David 1979),yes,, 
Mérimériko,FAL14-026,Senegal,13.99,-12.21,(Huysecom et al. 2014),,, 
Missira III,,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
Missira IV,,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
Ndalane,N’Dalane,Senegal,14.3,-16.17,(Calvocoressi and David 1979; Delibrias et al. 1986),yes,, 
Ndiamon-Badat,,Senegal,14.11,-16.77,(Bâ et al. 1997; Linseele 2007),yes,,yes 
Noumoutabanco,FAL14-032,Senegal,13.98,-12.2,(Huysecom et al. 2014),,, 
Ogo,,Senegal,15.54,-13.3,(Chavane 1980; Linseele 2007; McIntosh and McIntosh 1986b),yes,, 
Pointe du Fann,,Senegal,14.68,-17.47,(Calvocoressi and David 1979),yes,,yes 
Poudioum,,Senegal,16,-16.48,(Dupré and Pinçon 1997),yes,,yes 
Ravin blanc,,Senegal,13.98,-12.22,(Huysecom et al. 2014),,, 
Saouré Diouldé , Saré-Diouldé,Senegal,13.83,-14.78,(Moga 2008; Sutton 1982),yes,, 
Saré Tioffi,,Senegal,16.67,-14.97,(Chavane 1980; McIntosh and McIntosh 1986b),yes,, 
Sekondi ,FAL14-033,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
Siendou,,Senegal,14.75,-17.33,(Calvocoressi and David 1979),yes,,yes 
Sincaan,,Senegal,15.54,-13.3,(Huysecom et al. 2012a),yes,, 
Sincu Bara,Sinthiou Bara,Senegal,15.71,-13.39,(Calvocoressi and David 1979; Kahlheber 2004; Linseele 2007; McIntosh and Bocoum 2000; McIntosh and McIntosh 1986b; Murray 2008),yes,yes,yes
Sine-Ngayène,,Senegal,13.23,-15.53,(Calvocoressi and David 1979),yes,,yes 
Siouré,,Senegal,16.45,-14.14,(Atangana 1992; Linseele 2007),,, 
Tatóto,FAL14-040,Senegal,14.01,-12.2,(Huysecom et al. 2014),,, 
Thiasdhé ouest ,,Senegal,13.8,-12.14,(Huysecom et al. 2012a),yes,, 
Tiékène-Boussoura,,Senegal,14,-14.58,(Calvocoressi and David 1979; Sutton 1982),yes,, 
Toumbounto,FAL14-028,Senegal,13.97,-12.21,(Huysecom et al. 2014),yes,, 
Tulel Fobo ,,Senegal,16.12,-13.88,(Déme and McIntosh 2006; Linseele 2007; McIntosh and Bocoum 2000),,, 
un-named Faleme valley site,FAL14-104,Senegal,13.97,-12.22,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-100,Senegal,13.96,-12.22,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-101,Senegal,13.96,-12.22,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-102,Senegal,13.96,-12.22,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-103,Senegal,13.96,-12.22,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-141,Senegal,14,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-045,Senegal,14,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-069,Senegal,14,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-024,Senegal,13.99,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-025,Senegal,13.99,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-056,Senegal,13.99,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-142,Senegal,13.99,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-143,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-053,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-054,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-058,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-059,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-060,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-061,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-062,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-063,Senegal,13.98,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-022,Senegal,13.97,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-023,Senegal,13.97,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-051,Senegal,13.97,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-052,Senegal,13.97,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-001,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-007,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-008,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-009,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-010,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-015,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-019,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-021,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-027,Senegal,13.96,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-139,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-140,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-002,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-003,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-004,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-005,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-006,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-011,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-012,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-013,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-016,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-017,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-018,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-075,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-081,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-087,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-088,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-089,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-090,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-091,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-093,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-108,Senegal,13.95,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-014,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-083,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-092,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-094,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-095,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-096,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-099,Senegal,13.94,-12.21,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-122,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-125,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-126,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-127,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-137,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-138,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-119,Senegal,14.05,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-115,Senegal,14.04,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-123,Senegal,14.04,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-124,Senegal,14.04,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-041,Senegal,14.04,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-065,Senegal,14.01,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-066,Senegal,14.01,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-067,Senegal,14.01,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-068,Senegal,14.01,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-030,Senegal,14,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-055,Senegal,14,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-078,Senegal,13.95,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-079,Senegal,13.95,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-080,Senegal,13.95,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-110,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-111,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-076,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-077,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-084,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-085,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-086,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-097,Senegal,13.94,-12.2,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-133,Senegal,14.06,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-134,Senegal,14.06,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-135,Senegal,14.06,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-136,Senegal,14.06,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-117,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-118,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-120,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-121,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-128,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-129,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-130,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-131,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-132,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-073,Senegal,14.05,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-114,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-116,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-112,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-105,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-106,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-109,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-113,Senegal,14.04,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-046,Senegal,14.03,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-047,Senegal,14.03,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-070,Senegal,14.03,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-074,Senegal,14.03,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-050,Senegal,14.02,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-042,Senegal,14.01,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-044,Senegal,14.01,-12.19,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-035,Senegal,14.03,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-038,Senegal,14.03,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-048,Senegal,14.03,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-072,Senegal,14.03,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-031,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-037,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-038,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-039,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-043,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-049,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
un-named Faleme valley site,FAL14-071,Senegal,14.02,-12.18,(Huysecom et al. 2014),,, 
Walaldé ,,Senegal,16.49,-14.18,(Linseele 2007; Manning 2010; Murray and Déme 2014),yes,yes,yes
Wanar,Vanar,Senegal,13.86,-15.62,(Huysecom et al. 2014),yes,, 
Kamabai,,SierraLeone,9.15,-11.96,(Atherton 1972; Atherton and Kalous 1970; Calvocoressi and David 1979; Willett 1971),yes,,
Yagala Old Town,,SierraLeone,9.57,-11.59,(Atherton 1972; Atherton 1983; McIntosh and McIntosh 1986b),yes,,
Yengema,,SierraLeone,8.81,-10.89,(Livingstone Smith 2007; Willett 1971),,,
Abri Vialettes,,Togo,10.85,0.22,(Dupré and Pinçon 1997),yes,, 
Bangeli (Bandjeli),,Togo,9.42,0.63,(de Barros 1986; de Barros 1988),yes,, 
BAS-273,,Togo,9.42,0.8,(Oslisly 1993),yes,,yes 
Bassar,,Togo,9.28,0.76,(de Barros 1986; de Barros 1988),yes,, 
Bassar-Kabu,,Togo,9.36,0.8,(de Barros 1986; de Barros 1988),yes,, 
Bitchabe,,Togo,9.33,0.58,(de Barros 1986; de Barros 1988),yes,, 
